"","msoa","la","pred_leave","voters","population"
"2305","E02002367","E08000035",0.515547814330728,2652.46499492464,4361
"2306","E02002368","E08000035",0.430932738939988,4359.36977513817,6417
"2307","E02002369","E08000035",0.650226602377905,3203.98779555731,5110
"2308","E02002370","E08000035",0.65183241414374,3141.01336799256,4924
"2309","E02002371","E08000035",0.437051109384137,4239.69100817662,7204
"2310","E02002373","E08000035",0.25771592555538,5367.29106059304,8270
"2311","E02002374","E08000035",0.380347258837776,3608.41584368898,5575
"2312","E02002375","E08000035",0.550772207409812,3151.12977849244,4944
"2313","E02002376","E08000035",0.619832776859645,2644.05853573995,4459
"2314","E02002377","E08000035",0.530296629030341,2564.78751555925,4703
"2315","E02002379","E08000035",0.675060426782437,2205.10317094061,3548
"2316","E02002380","E08000035",0.611805063272787,2822.25039416334,4259
"2317","E02002381","E08000035",0.508099736281636,3272.28410905445,4960
"2318","E02002382","E08000035",0.588362424379052,2248.50019655732,4052
"2319","E02002383","E08000035",0.207313074702395,4535.59171710538,7133
"2320","E02002384","E08000035",0.349215007498375,5389.01478319778,9279
"2321","E02002385","E08000035",0.27405284298859,4466.77011195632,7065
"2322","E02002386","E08000035",0.590704871184472,4641.33383639031,6942
"2323","E02002387","E08000035",0.585366818765856,2655.02331860806,4127
"2324","E02002388","E08000035",0.560302330753252,3617.79121110086,5639
"2325","E02002389","E08000035",0.650513614245238,2924.64965110607,4792
"2326","E02002390","E08000035",0.614979934654597,3057.1313350889,4707
"2327","E02002391","E08000035",0.54634566502599,4137.01175697838,6215
"2328","E02002392","E08000035",0.217546926240041,5222.55559318778,8733
"2329","E02002393","E08000035",0.556541399486649,3094.92998983344,5787
"2330","E02002394","E08000035",0.658315293937488,2918.05664331126,4957
"2331","E02002395","E08000035",0.503975957386527,3217.4765822807,4872
"2332","E02002396","E08000035",0.559655155490433,4446.42037473948,6837
"2333","E02002397","E08000035",0.616922950684397,3857.81742730523,5840
"2334","E02002398","E08000035",0.613882059460729,4046.67380787308,6044
"2335","E02002399","E08000035",0.653763553384182,2917.71146648301,4597
"2336","E02002400","E08000035",0.583077412770966,3961.57032262741,6485
"2337","E02002401","E08000035",0.662724545643934,2660.07889642698,4331
"2338","E02002402","E08000035",0.512195601913199,3126.69042070343,4627
"2339","E02002403","E08000035",0.562382087887107,3270.98513442807,4864
"2340","E02002404","E08000035",0.425574806933271,4412.53465289212,7179
"2341","E02002405","E08000035",0.567395248604599,3945.71538074454,5898
"2342","E02002406","E08000035",0.586112851393597,3766.70295962985,5547
"2343","E02002407","E08000035",0.65209530540772,2984.02904487883,4738
"2344","E02002408","E08000035",0.560108486530872,3864.78437599723,5778
"2345","E02002409","E08000035",0.630161148011017,3036.43796614215,4661
"2346","E02002410","E08000035",0.605826242648563,3492.37219389548,5350
"2347","E02002411","E08000035",0.492898587209247,3316.2131884074,5531
"2348","E02002412","E08000035",0.543986186538901,3550.29760740757,5391
"2349","E02002414","E08000035",0.624241246590442,2603.87930234738,4324
"2350","E02002415","E08000035",0.594307899761359,2438.05890422382,4435
"2351","E02002416","E08000035",0.644905122565305,3440.82209845175,5144
"2352","E02002417","E08000035",0.60423013503986,3382.13166094442,5055
"2353","E02002418","E08000035",0.596389997037646,3758.07517097323,5623
"2354","E02002419","E08000035",0.648134936793614,3694.22707614788,5870
"2355","E02002420","E08000035",0.585920219790726,3859.54775064759,6002
"2356","E02002421","E08000035",0.676408930826115,2655.53818449959,4263
"2357","E02002422","E08000035",0.557335993372307,3321.79983802572,4961
"2358","E02002423","E08000035",0.68413299353066,2766.85813495107,4336
"2359","E02002424","E08000035",0.569628295383855,3952.05520821278,5935
"2360","E02002425","E08000035",0.582943755357629,4526.57436298567,6764
"2361","E02002426","E08000035",0.537496788380127,4045.80960900763,6001
"2362","E02002427","E08000035",0.623555040443159,3620.81166947709,5432
"2363","E02002428","E08000035",0.611719127994237,3476.79876158299,5339
"2364","E02002429","E08000035",0.549887711250131,4327.78864325176,6462
"2365","E02002430","E08000035",0.706577875180322,3196.09157351517,5127
"2366","E02002431","E08000035",0.532944934514448,4054.67643010081,6200
"2367","E02002432","E08000035",0.619009075002916,3676.48214870939,5501
"2368","E02002433","E08000035",0.582321311757971,3343.50970779772,5122
"2369","E02002434","E08000035",0.546561797442787,4301.13423530218,6502
"2370","E02002435","E08000035",0.575905360399879,3916.59515068587,5875
"2371","E02002436","E08000035",0.623018539571993,3385.304213484,5136
"2372","E02002437","E08000035",0.573402335095762,3250.69230022351,4814
"2373","E02002438","E08000036",0.757529603852505,3891.1769524551,5915
"2374","E02002439","E08000036",0.727040139340719,4193.47921143013,6250
"2375","E02002440","E08000036",0.737185933172649,4039.98104212542,5996
"2376","E02002441","E08000036",0.729500077026687,4616.30519523431,6874
"2377","E02002442","E08000036",0.669887730291992,3693.53362985275,5379
"2378","E02002443","E08000036",0.590989238256635,3263.28859106023,4694
"2379","E02002444","E08000036",0.624209131091946,3247.47026363538,4708
"2380","E02002445","E08000036",0.66247299537731,3908.57317291627,5663
"2381","E02002446","E08000036",0.652398279288847,3405.50886913645,4892
"2382","E02002447","E08000036",0.732296863779969,3327.95554775052,4937
"2383","E02002448","E08000036",0.752976414276845,3974.03523569391,5937
"2384","E02002449","E08000036",0.675009615633438,4312.58090237505,6278
"2385","E02002450","E08000036",0.648440577627484,3640.74623909502,5306
"2386","E02002451","E08000036",0.618091822586329,4116.71852799144,5882
"2387","E02002452","E08000036",0.670757216797232,4292.37100564771,6366
"2388","E02002453","E08000036",0.7214698130251,4846.21042372411,7228
"2389","E02002454","E08000036",0.572581697491023,3914.21574950196,6151
"2390","E02002455","E08000036",0.73644450169486,3093.09395732756,4625
"2391","E02002456","E08000036",0.601045678427902,3861.32780379635,5702
"2392","E02002457","E08000036",0.715997259751108,3773.62411825315,5756
"2393","E02002458","E08000036",0.644810523215497,4780.98182649038,6899
"2394","E02002459","E08000036",0.672477822650143,4824.17268794576,7126
"2395","E02002460","E08000036",0.587147505175725,4103.35104731466,5845
"2396","E02002461","E08000036",0.674817398698382,5343.16555134179,7834
"2397","E02002462","E08000036",0.644052807303818,4108.30440385617,5933
"2398","E02002463","E08000036",0.730228338149611,4271.81221545076,6495
"2399","E02002464","E08000036",0.743160586479463,4107.21125149332,6144
"2400","E02002465","E08000036",0.604822526174644,3427.34606643191,5012
"2401","E02002466","E08000036",0.651390014917227,5010.56568696601,7220
"2402","E02002467","E08000036",0.631131708753461,4059.30253849738,6290
"2403","E02002468","E08000036",0.5757836345696,3387.07097767317,4854
"2404","E02002469","E08000036",0.652288422279878,3259.93952450684,4715
"2405","E02002470","E08000036",0.4288629019493,3642.12332551403,5096
"2406","E02002471","E08000036",0.545298650907041,5921.18989320634,8438
"2407","E02002472","E08000036",0.612432782510992,3402.19097953375,4870
"2408","E02002473","E08000036",0.633481377265739,3611.22695991683,5157
"2409","E02002474","E08000036",0.672697604797476,3293.98992144078,4834
"2410","E02002475","E08000036",0.52109403781532,3446.83271144451,4871
"2411","E02002476","E08000036",0.753027765341669,2908.52065484083,4420
"2412","E02002477","E08000036",0.68292140540652,3365.36788265043,4975
"2413","E02002478","E08000036",0.714893210405155,3039.47882442775,4513
"2414","E02002479","E08000036",0.72950444842682,4519.85266396001,6695
"2415","E02002480","E08000036",0.718937856663743,3141.2558729751,4718
"2416","E02002481","E08000036",0.725281680187479,3299.31831555109,4901
"2417","E02002482","E08000036",0.744995519239428,3355.23177756759,5029
"2418","E02002483","E06000001",0.65947724343205,4615.82666967481,7039
"2419","E02002484","E06000001",0.76391492745676,4954.95248455192,7865
"2420","E02002485","E06000001",0.781378204907364,3779.26210403521,5976
"2421","E02002487","E06000001",0.70086260507932,2666.95715403429,4268
"2422","E02002488","E06000001",0.578606692049057,3234.08919191456,4871
"2423","E02002489","E06000001",0.660335728596603,3783.07612435569,5981
"2424","E02002490","E06000001",0.724150782027696,3036.83529358689,4787
"2425","E02002491","E06000001",0.764400305528987,3238.51823151944,5086
"2426","E02002492","E06000001",0.721197096780995,3368.61306267648,5239
"2427","E02002493","E06000001",0.653634655270263,3433.40296112788,5212
"2428","E02002494","E06000001",0.771798357260884,3606.19887839543,5750
"2429","E02002496","E06000002",0.528341657630463,4895.67562464482,9214
"2430","E02002497","E06000002",0.769974476017929,2573.32237738035,4625
"2431","E02002498","E06000002",0.60590223187531,3664.00883306408,6832
"2432","E02002499","E06000002",0.786455470718453,3017.56931199336,5356
"2433","E02002500","E06000002",0.616881426441768,2636.06019667455,4542
"2434","E02002501","E06000002",0.715643815061059,2310.76147450699,4043
"2435","E02002502","E06000002",0.783227510758211,4060.88875572346,7204
"2436","E02002503","E06000002",0.726546899841062,2729.45227586777,4765
"2437","E02002504","E06000002",0.576689153718256,4364.64511030008,7370
"2438","E02002505","E06000002",0.803267514387117,2534.73024110178,4520
"2439","E02002506","E06000002",0.722064763278279,2489.53766178776,4389
"2440","E02002507","E06000002",0.592013570891574,2880.83416847943,4811
"2441","E02002508","E06000002",0.628175254445426,2436.63429605167,4072
"2442","E02002509","E06000002",0.691738849164569,2519.05738330416,4312
"2443","E02002510","E06000002",0.662210491539498,2841.6497533255,4755
"2444","E02002512","E06000002",0.538602394465128,2571.78840151885,4239
"2445","E02002513","E06000002",0.702488762155013,3944.18066856904,6772
"2446","E02002514","E06000002",0.64888560069545,4183.84164377362,7081
"2447","E02002515","E06000003",0.643167571579286,3610.62455252534,5455
"2448","E02002516","E06000003",0.694883879060631,2994.04179861138,4461
"2449","E02002517","E06000003",0.713537214600509,2815.06471566487,4208
"2450","E02002518","E06000003",0.619766508947361,5851.98984042683,8478
"2451","E02002519","E06000003",0.694609917183524,3734.75898573938,5562
"2452","E02002520","E06000003",0.650197910511986,7377.81042156512,10675
"2453","E02002521","E06000003",0.531145084182319,3410.3259869184,4953
"2454","E02002523","E06000003",0.767061910087614,2913.95949590756,4551
"2455","E02002524","E06000003",0.681728637090278,2854.15899754807,4221
"2456","E02002525","E06000003",0.698905029507024,4583.42255141168,6803
"2457","E02002526","E06000003",0.690257670699311,3920.00206204669,5788
"2458","E02002527","E06000003",0.732775054316525,2608.13608490963,3963
"2459","E02002529","E06000003",0.689345511357809,3163.6533395983,4657
"2460","E02002530","E06000003",0.697308449952523,3511.90241573849,5237
"2461","E02002532","E06000003",0.656772670606662,3376.45043609179,4999
"2462","E02002533","E06000003",0.554671043433124,3224.97261846196,4632
"2463","E02002534","E06000003",0.54951692737221,3373.05555172021,4821
"2464","E02002535","E06000004",0.590018827757118,5492.52764732298,8024
"2465","E02002536","E06000004",0.696117975847974,5078.20954055778,7589
"2466","E02002537","E06000004",0.699946282766379,4397.90479431404,6728
"2467","E02002538","E06000004",0.691172978498022,3066.23282256446,4582
"2468","E02002539","E06000004",0.596227877664306,4920.21790387549,7095
"2469","E02002540","E06000004",0.615120340590104,3610.11303572311,5236
"2470","E02002541","E06000004",0.620205459022937,3408.06886976891,5050
"2471","E02002542","E06000004",0.705352437536553,4049.0422486725,6210
"2472","E02002543","E06000004",0.676764433989409,3995.15560655306,6098
"2473","E02002544","E06000004",0.655267649217633,4421.72249038054,6769
"2474","E02002545","E06000004",0.659214679011014,3037.50879928219,4451
"2475","E02002546","E06000004",0.651976834710505,3689.014467866,5650
"2476","E02002547","E06000004",0.638307478987582,3592.97918900518,5232
"2477","E02002548","E06000004",0.611048295774424,5587.03639097695,8806
"2478","E02002549","E06000004",0.679987662886469,4465.46369582464,6477
"2479","E02002550","E06000004",0.576947652592465,3475.9383259908,5089
"2480","E02002551","E06000004",0.532842803195472,3407.25084940999,5272
"2481","E02002552","E06000004",0.673152953101487,3460.8332368261,5191
"2482","E02002553","E06000004",0.653165007130439,3113.34925189742,4654
"2483","E02002554","E06000004",0.739090384002875,2826.2891872696,4283
"2484","E02002555","E06000004",0.53015639562514,5417.13261352432,7834
"2485","E02002556","E06000004",0.543617847138792,3790.44500056183,5484
"2486","E02002557","E06000004",0.457684468597597,6540.65324915561,9502
"2487","E02002558","E06000004",0.526411162665491,5571.91078267652,8031
"2488","E02002559","E06000005",0.489131417725401,4636.35209324299,6804
"2489","E02002560","E06000005",0.59852887215394,3126.46857136004,4651
"2490","E02002561","E06000005",0.570816309349125,3142.71930649071,4649
"2491","E02002562","E06000005",0.63695396971663,3142.44703928332,4778
"2492","E02002563","E06000005",0.613324535832683,2931.53971415707,4379
"2493","E02002564","E06000005",0.6140388366067,4810.1468938563,7245
"2494","E02002565","E06000005",0.546761552609517,2927.38331115696,4395
"2495","E02002566","E06000005",0.553073421029462,3544.3411900102,5526
"2496","E02002567","E06000005",0.671456884444387,3626.36350983741,5544
"2497","E02002568","E06000005",0.386866310416767,3220.02738006665,4679
"2498","E02002569","E06000005",0.486892929202307,5130.10865142943,7426
"2499","E02002570","E06000005",0.591381120180389,4192.43381622546,6403
"2500","E02002571","E06000005",0.660794480722607,3169.23384914496,4847
"2501","E02002572","E06000005",0.601478994389328,3049.39930432219,4663
